Depth[m],Vs[m/sec],Vp[m/sec]
-0,172.37222,451.198
-1,172.37222,451.198
-2,247.685,553.0208
-3,278.0154,592.7608
-4,288.6136,634.5424
-5,295.2216,687.6492
-6,299.908,736.1956
-7,306.5712,778.3438
-8,313.2998,823.3558
-9,319.7188,860.329
-10,328.0612,898.2024
-11,335.0262,938.1822
-12,342.9916,972.6364
-13,348.7226,1019.4974
-14,356.0948,1088.8294
-15,361.7464,1169.4204
-16,369.3708,1267.4278
-17,374.674,1359.4944
-18,380.0316,1442.4934
-19,385.6102,1505.7994
-20,391.2376,1597.1124
-21,398.0578,1664.3644
-22,405.3976,1737.4238
-23,411.0124,1818.777
-24,416.6178,1906.8234
-25,422.3684,2022.6058
-26,428.6506,2151.6338
-27,435.2442,2277.258
-28,443.6642,2410.144
-29,451.7038,2567.192
-30,459.7012,2710.276
-35,467.9804,2982.958
-40,477.0328,3282.518
-45,488.7086,4208.838
-50,502.634,4441.498
-55,525.684,4735.078
-65,570.7176,5466.716
