Depth[m],Vs[m/sec],Vp[m/sec]
-0,178.77528,566.4054
-1,178.77528,566.4054
-2,228.8372,677.797
-3,289.476,725.1806
-4,328.8902,767.3118
-5,350.915,811.8808
-6,370.5286,887.0812
-7,384.7674,996.441399999999
-8,397.4292,1545.6186
-9,408.8958,1661.181
-10,418.283,1742.4672
-11,425.6732,1829.552
-12,434.6474,1916.7074
-13,444.4898,1978.7304
-14,452.4858,2063.4148
-15,461.838,2132.7354
-16,472.0904,2209.7334
-17,481.589,2288.4288
-18,492.7796,2359.254
-19,506.2594,2426.846
-20,525.6422,2504.976
-21,537.1356,2573.4
-22,553.0012,2664.906
-23,570.4276,2808.696
-24,584.687,2975.186
-25,602.3242,3092.248
-26,616.315,3220.864
-27,640.5102,3321.732
-28,660.795,3445.546
-29,686.9842,3556.206
-30,710.9572,3688.878
-35,744.7804,3843.02
-40,791.2002,4068.98
-50,872.2632,4404.534
