Depth[m],Vs[m/sec],Vp[m/sec]
-0,211.58482,425.048
-1,211.58482,425.048
-2,296.7696,525.0964
-3,317.608,574.2944
-4,334.837,619.7278
-5,349.7898,669.7414
-6,360.9902,732.8446
-7,370.1272,816.0988
-8,377.8144,893.2206
-9,385.8588,970.3366
-10,390.5372,1064.9028
-11,395.33,1183.0174
-12,400.9832,1281.1838
-13,405.692,1356.6514
-14,411.5156,1431.0766
-15,416.6348,1518.1886
-16,421.3418,1600.6636
-17,428.4238,1699.8446
-18,434.1686,1769.888
-19,438.8764,1847.7576
-20,444.6018,1945.936
-21,450.3698,2090.322
-22,456.0586,2188.7118
-23,461.1846,2260.378
-24,468.7626,2350.264
-25,474.179,2445.34
-26,479.7886,2566.832
-27,488.281,2672.81
-28,497.01,2779.738
-29,506.6972,2873.41
-30,517.9538,2987.016
-35,527.6798,3114.6
-40,548.9384,3197.39
-45,570.2748,3335.63
-55,618.0092,3563.602
