Depth[m],Vs[m/sec],Vp[m/sec]
-0,101.65464,315.51
-1,101.65464,315.51
-2,144.09622,549.5322
-3,174.50578,888.9766
-4,199.64248,927.3888
-5,224.58316,985.1232
-6,256.6856,1049.2308
-7,275.7478,1183.9168
-8,292.0912,1668.7332
-9,304.1568,1738.2478
-10,311.5902,1795.7156
-11,319.9424,1839.7624
-12,326.3604,1880.9316
-13,331.5008,1928.6318
-14,336.7422,1970.7514
-15,340.2924,2014.8026
-16,344.8336,2075.1384
-17,348.7378,2143.84
-18,351.7784,2203.968
-19,354.578,2255.412
-20,359.1904,2298.848
-21,361.5828,2346.802
-22,365.1192,2397.09
-23,368.3412,2437.132
-24,371.7868,2477.454
-25,374.6164,2519.838
-26,378.7962,2559.392
-27,382.4878,2606.016
-28,386.5752,2651.604
-29,390.4078,2703.924
-30,395.0572,2760.698
-35,399.7518,2823.986
-40,407.4138,2892.124
-45,413.4272,2969.218
-50,425.2156,3071.79
-55,438.438,3260.968
-65,469.9358,3699.45
