Depth[m],Vs[m/sec],Vp[m/sec]
-0,184.52508,361.7304
-1,184.52508,361.7304
-2,221.623,404.583
-3,241.5842,444.2426
-4,273.2974,486.345
-5,294.2812,520.032
-6,306.1546,555.9834
-7,315.7184,611.4026
-8,322.565,660.6592
-9,329.632,742.6438
-10,338.8808,797.522
-11,346.8126,862.7488
-12,355.7074,938.4872
-13,365.8876,1009.553
-14,380.1258,1127.246
-15,405.7288,1890.6816
-16,446.2412,2097.9322
-17,481.8926,2440.924
-18,518.8296,2558.606
-19,552.4718,2662.112
-20,578.0982,2783.162
-21,603.5388,2901.296
-22,627.6278,2984.48
-23,643.4852,3059
-24,660.4308,3143.496
-25,673.9424,3231.432
-26,689.2208,3327.814
-27,702.0638,3424.852
-28,716.0662,3503.248
-29,732.1262,3599.896
-30,750.777,3715.114
-35,768.17,3874.558
-40,795.4004,4148.648
-50,838.1798,4588.67
