Depth[m],Vs[m/sec],Vp[m/sec]
-0,120.93476,258.1076
-1,120.93476,258.1076
-2,196.34284,474.1182
-3,253.684,516.9472
-4,269.9492,552.4672
-5,279.0894,608.8184
-6,290.5878,674.1604
-7,298.2004,731.7322
-8,307.9772,804.7586
-9,314.6292,884.3174
-10,321.0032,964.7994
-11,327.4228,1045.9268
-12,333.211,1133.11
-13,338.5768,1207.8906
-14,345.7774,1268.913
-15,351.4896,1339.9776
-16,358.8464,1394.9268
-17,364.8002,1466.1268
-18,371.058,1520.3122
-19,378.6622,1591.7606
-20,384.355,1674.1566
-21,393.2272,1779.437
-22,400.5952,1908.3646
-23,409.0362,2203.7826
-24,416.2684,2810.584
-25,424.7376,3042.974
-26,434.0494,3160.11
-27,442.3858,3238.234
-28,452.7266,3345.476
-29,462.631,3485.802
-30,477.8052,3602.528
-35,495.0162,3741.804
-40,514.0724,3936.88
-50,557.485,4204.702
