Depth[m],Vs[m/sec],Vp[m/sec]
-0,181.48982,475.2688
-1,181.48982,475.2688
-2,236.1638,517.5132
-3,260.8426,596.7072
-4,287.5962,647.727
-5,313.314,738.4782
-6,375.0428,798.5496
-7,419.8518,848.1712
-8,454.052,891.7544
-9,483.882,925.5762
-10,517.3352,958.6066
-11,548.962,990.7746
-12,576.113,1026.5348
-13,598.4572,1056.6968
-14,619.2142,1076.9996
-15,632.9332,1103.8518
-16,646.1064,1131.6108
-17,657.045,1158.975
-18,667.527,1192.1648
-19,677.9978,1227.3304
-20,688.3012,1263.0108
-21,697.1026,1294.2162
-22,704.2076,1327.8064
-23,712.2886,1360.312
-24,719.2846,1397.4166
-25,726.4806,1443.8796
-26,734.4606,1481.077
-27,744.473,1527.2632
-28,751.314,1567.0928
-29,759.5456,1621.6958
-30,771.5814,1677.1768
-35,784.8186,1753.4806
-40,799.3686,1854.5118
-50,825.3024,2034.737
