Depth[m],Vs[m/sec],Vp[m/sec]
-0,147.11464,466.5344
-1,147.11464,466.5344
-2,204.5421,512.9054
-3,238.521,556.4512
-4,260.0798,598.0212
-5,324.4252,625.2348
-6,364.535,648.0916
-7,386.1618,673.4858
-8,400.7628,695.7582
-9,409.331,716.6938
-10,416.4518,739.5086
-11,422.142,765.8712
-12,427.342,793.7456
-13,431.3674,823.4278
-14,434.8312,865.7486
-15,438.4708,904.3402
-16,442.2058,948.9868
-17,446.9724,985.1862
-18,450.8744,1042.095
-19,455.6478,1096.7848
-20,460.4386,1163.8966
-21,464.969,1230.8816
-22,468.9492,1285.5254
-23,474.8092,1368.7696
-24,482.5668,1439.9432
-25,489.2946,1521.154
-26,496.2336,1593.5978
-27,503.5862,1668.5018
-28,515.4482,1756.3496
-29,528.3038,1877.0992
-30,547.6756,1967.7682
-40,572.0628,2135.6174
