Depth[m],Vs[m/sec],Vp[m/sec]
-0,191.7448,371.1684
-1,191.7448,371.1684
-2,215.01764,401.934
-3,239.8,443.7686
-4,274.4676,482.7554
-5,296.1434,506.252
-6,307.2394,525.0058
-7,316.804,550.6214
-8,323.6516,579.9346
-9,329.3724,608.1016
-10,337.2804,657.212
-11,343.34,695.0976
-12,354.4592,746.4462
-13,371.613,822.3324
-14,394.1822,918.648
-15,429.1042,980.735
-16,470.0728,1032.1962
-17,513.062,1083.1312
-18,558.2906,1131.3176
-19,603.6394,1181.6024
-20,646.4128,1238.7042
-21,682.4388,1292.2048
-22,715.9946,1352.6102
-23,746.5188,1408.5634
-24,772.87,1472.1974
-25,796.8358,1546.369
-26,817.7598,1636.1756
-27,840.8984,1700.2796
-28,864.6476,1770.3606
-29,885.7886,1848.4342
-30,911.3906,1932.614
-35,935.7662,2020.2642
-40,979.2144,2138.2306
-50,1075.4774,2353.132
