Depth[m],Vs[m/sec],Vp[m/sec]
-0,176.184,346.0614
-1,176.184,346.0614
-2,225.623,403.8058
-3,247.0114,444.6732
-4,264.147,498.2166
-5,292.6058,566.866
-6,328.1396,634.8308
-7,361.7162,697.8362
-8,391.3722,780.3884
-9,414.295,860.8242
-10,436.0176,944.0072
-11,463.0862,1002.0418
-12,487.4326,1069.834
-13,515.7836,1132.668
-14,548.645,1199.5952
-15,581.2694,1264.6188
-16,620.8498,1333.8322
-17,656.51,1389.2014
-18,694.9348,1446.451
-19,731.4938,1500.2664
-20,765.3208,1561.6318
-21,795.0882,1623.5056
-22,822.7026,1695.493
-23,858.369,1765.6894
-24,889.748,1852.6052
-25,922.08,1936.315
-26,962.930199999999,2008.3998
-27,1004.9932,2105.6946
-28,1052.957,2204.6612
-29,1118.0784,2310.388
-30,1211.0938,2471.728
-40,1379.3786,2740.126
